nim,nama,email,Gender,Asal_Sekolah,Telephone,Angkatan,Asal_Daerah
194015,Muhammad Amir,Samarinda@inet.com,Pria,SMU,12345678,2019,Luar Daerah
194001,Samsul Kurnia,Bontang@email.com,Pria,SMU,12345679,2019,Lokal
194002,Bambang Arifin,Sangata@inet.com,Pria,SMU,12345680,2019,Luar Daerah
194003,Udin,Udin@inet.com,Pria,MA,12345681,2019,Lokal
194004,Iwan,Iwan@inet.com,Pria,MA,12345682,2019,Luar Daerah
194005,Bambang Arifin,Bambang Arifin@inet.com,Pria,SMK,12345683,2019,Lokal
194006,Wati,Wati@inet.com,Wanita,SMK,12345684,2019,Lokal
194007,Ani,Ani@inet.com,Wanita,SMK,12345685,2019,Luar Daerah
194008,Rahmawati,Rahmawati@inet.com,Wanita,SMU,12345686,2020,Lokal
194009,Asep,Asep@inet.com,Pria,SMU,12345687,2020,Luar Daerah
194010,Rina,rina@inet.com,Wanita,MA,12345688,2020,Lokal
194011,Sari,sari@inet.com,Wanita,MA,12345689,2020,Lokal
194012,Bowo,Bowo@inet.com,Pria,SMU,12345690,2020,Luar Daerah
194013,Budi,Budi@inet.com,Pria,SMK,12345691,2020,Lokal
194014,Putri,putri@inet.com,Wanita,SMK,12345692,2020,Lokal
